master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RF_SCORE,segment
daf8f59c-5b0c-11ea-8f65-000d3a38a36f,3,6.0,845.4,5,4,4,54,champions
fd48fccc-f8ac-11e9-b138-000d3a38a36f,31,4.0,296.29999999999995,5,4,1,54,champions
76124e8e-260b-11ea-8e1c-000d3a38a36f,26,5.0,549.93,5,4,3,54,champions
a4ae1f76-008a-11ea-a5e8-000d3a38a36f,32,6.0,1007.79,5,4,4,54,champions
9b0bfa24-a8ec-11e9-a2fc-000d3a38a36f,5,5.0,1063.72,5,4,5,54,champions
e06651f8-f349-11e9-9346-000d3a38a36f,23,5.0,998.78,5,4,4,54,champions
3aeed4b6-9d36-11e9-9897-000d3a38a36f,18,5.0,577.9200000000001,5,4,3,54,champions
f5f2f0f6-a332-11e9-a2fc-000d3a38a36f,5,5.0,818.33,5,4,4,54,champions
0b081d38-5baa-11ea-b2b6-000d3a38a36f,13,6.0,849.19,5,4,4,54,champions
a4dcff38-a8a3-11e9-a2fc-000d3a38a36f,6,6.0,1000.71,5,4,4,54,champions
d4b9b434-22d9-11ea-8523-000d3a38a36f,13,6.0,444.74,5,4,2,54,champions
54ccd2fa-ac1f-11e9-a2fc-000d3a38a36f,32,5.0,390.45,5,4,2,54,champions
2ba60f72-94f4-11ea-85df-000d3a38a36f,13,5.0,1022.8900000000001,5,4,5,54,champions
0d25e32a-a278-11e9-a2fc-000d3a38a36f,32,6.0,977.7,5,4,4,54,champions
c82f67e0-b196-11e9-89fa-000d3a38a36f,25,5.0,1007.62,5,4,4,54,champions
24743d0c-284b-11ea-b87a-000d3a38a36f,29,6.0,933.9,5,4,4,54,champions
15ee9da4-2bed-11ea-91ab-000d3a38a36f,22,5.0,1052.14,5,4,5,54,champions
ed4b9ed2-a5bf-11e9-a2fc-000d3a38a36f,9,6.0,1062.89,5,4,5,54,champions
66e5f51a-a0bd-11e9-a2fc-000d3a38a36f,30,5.0,589.73,5,4,3,54,champions
447d0eec-cc12-11ea-b305-000d3a38a36f,13,6.0,504.32000000000005,5,4,3,54,champions
6f2a0194-d6eb-11e9-93bc-000d3a38a36f,26,5.0,542.45,5,4,3,54,champions
60c1d414-af5a-11e9-a2fc-000d3a38a36f,3,5.0,751.37,5,4,4,54,champions
75a62d94-9f06-11e9-9897-000d3a38a36f,23,6.0,873.83,5,4,4,54,champions
a141ef8e-ac7f-11e9-a2fc-000d3a38a36f,26,6.0,1254.87,5,4,5,54,champions
97eadce4-ae31-11e9-a2fc-000d3a38a36f,9,5.0,576.93,5,4,3,54,champions
21cd5a28-a99a-11e9-a2fc-000d3a38a36f,33,6.0,786.8199999999999,5,4,4,54,champions
806102f2-b18c-11e9-89fa-000d3a38a36f,30,5.0,380.62,5,4,2,54,champions
